date,offset,size
2020-01-21,33406889248,18908228
2020-01-22,33425797476,17150707
2020-01-23,33442948183,15959924
2020-01-24,33458908107,21440460
2020-01-25,33480348567,22632146
2020-01-26,33502980713,23705989
2020-01-27,33526686702,22098410
2020-01-28,33548785112,15974175
2020-01-29,33564759287,15532103
2020-01-30,33580291390,15086880
2020-01-31,33595378270,15758134
2020-02-01,33611136404,14930661
2020-02-02,33626067065,14395603
2020-02-03,33640462668,14885729
2020-02-04,33655348397,12578291
2020-02-05,33667926688,13673403
2020-02-06,33681600091,13977928
2020-02-07,33695578019,14432419
2020-02-08,33710010438,41638223
2020-02-09,33751648661,16829521
2020-02-10,33768478182,53066352
2020-02-11,33821544534,19312467
2020-02-12,33840857001,49509126
2020-02-13,33890366127,21209579
2020-02-14,33911575706,30935176
2020-02-15,33942510882,22976454
2020-02-16,33965487336,23454003
2020-02-17,33988941339,24626792
2020-02-18,34013568131,22399223
2020-02-19,34035967354,22848617
2020-02-20,34058815971,23930801
2020-02-21,34082746772,22232264
2020-02-22,34104979036,22026082
2020-02-23,34127005118,21135978
2020-02-24,34148141096,20486926
2020-02-25,34168628022,20817509
2020-02-26,34189445531,21988082
2020-02-27,34211433613,16522310
2020-02-28,34227955923,16333982
2020-02-29,34244289905,16582455
2020-03-01,34260872360,17412159
2020-03-02,34278284519,17029815
2020-03-03,34295314334,16197411
2020-03-04,34311511745,13868009
2020-03-05,34325379754,14441108
2020-03-06,34339820862,13516324
2020-03-07,34353337186,14455944
2020-03-08,34367793130,13520841
2020-03-09,34381313971,15648951
2020-03-10,34396962922,13933410
2020-03-11,34410896332,12046656
2020-03-12,34422942988,11644519
2020-03-13,34434587507,12007954
2020-03-14,34446595461,11533875
2020-03-15,34458129336,11220055
2020-03-16,34469349391,11521578
2020-03-17,34480870969,11398174
2020-03-18,34492269143,10882002
2020-03-19,34503151145,11523791
2020-03-20,34514674936,12529656
2020-03-21,34527204592,13132302
2020-03-22,34540336894,13332233
2020-03-23,34553669127,12874510
2020-03-24,34566543637,11747121
2020-03-25,34578290758,11120778
2020-03-26,34589411536,10874667
2020-03-27,34600286203,14906336
2020-03-28,34615192539,11047118
2020-03-29,34626239657,9862064
2020-03-30,34636101721,7930919
2020-03-31,34644032640,8095341
2020-04-01,34652127981,19439918
2020-04-02,34671567899,8758587
2020-04-03,34680326486,7127204
2020-04-04,34687453690,6869270
2020-04-05,34694322960,6980929
2020-04-06,34701303889,6458398
2020-04-07,34707762287,5630352
2020-04-08,34713392639,4325857
2020-04-09,34717718496,4170772
2020-04-10,34721889268,4964982
2020-04-11,34726854250,5195180
2020-04-12,34732049430,4840980
2020-04-13,34736890410,4703775
2020-04-14,34741594185,4760311
2020-04-15,34746354496,4775839
2020-04-16,34751130335,4349602
2020-04-17,34755479937,4745516
2020-04-18,34760225453,4752258
2020-04-19,34764977711,4791006
2020-04-20,34769768717,4424767
2020-04-21,34774193484,5028642
2020-04-22,34779222126,5732005
2020-04-23,34784954131,6249231
2020-04-24,34791203362,5937920
2020-04-25,34797141282,5845991
2020-04-26,34802987273,5905156
2020-04-27,34808892429,5907894
2020-04-28,34814800323,5960277
2020-04-29,34820760600,5978771
2020-04-30,34826739371,5710441
2020-05-01,34832449812,6019611
2020-05-02,34838469423,7086429
2020-05-03,34845555852,7330550
2020-05-04,34852886402,7392851
2020-05-05,34860279253,6167720
2020-05-06,34866446973,6065032
2020-05-07,34872512005,6144794
2020-05-08,34878656799,6131643
2020-05-09,34884788442,6148202
2020-05-10,34890936644,6179026
2020-05-11,34897115670,6207608
2020-05-12,34903323278,6079736
2020-05-13,34909403014,5928424
2020-05-14,34915331438,6121572
2020-05-15,34921453010,6164715
2020-05-16,34927617725,5777254
2020-05-17,34933394979,7752134
2020-05-18,34941147113,9326335
2020-05-19,34950473448,8298099
2020-05-20,34958771547,8663727
2020-05-21,34967435274,8058722
2020-05-22,34975493996,7284039
2020-05-23,34982778035,6636823
2020-05-24,34989414858,7163190
2020-05-25,34996578048,6868157
